Gene_ID,Sequence,Length,%GC,Number_Exons,Avg_PYG_TPM
ACA1_048390,,,,,14.77082867
ACA1_048130,,,,,44.807335
ACA1_377940,,,,,19.02245267
ACA1_071910,,,,,3.04637
ACA1_116730,,,,,12.085164
ACA1_397230,,,,,6.240713
ACA1_371710,,,,,15.699894
ACA1_289650,,,,,7.041982667
ACA1_093460,,,,,39.840271
ACA1_071760,,,,,5.666830667
ACA1_066590,,,,,29.892824
ACA1_048870,,,,,3.478917
ACA1_208080,,,,,4.230214333
ACA1_253850,,,,,20.69337167
ACA1_048160,,,,,20.43362733
ACA1_129010,,,,,6.390333
ACA1_051860,,,,,35.12226367
ACA1_036440,,,,,13.57329867
ACA1_346040,,,,,671.495992
ACA1_248560,,,,,2.150053333
ACA1_200020,,,,,19.61916467
ACA1_112970,,,,,39.31268533
ACA1_368220,,,,,41.27059067
ACA1_031790,,,,,20.266185
ACA1_134270,,,,,75.94406367
ACA1_291530,,,,,8.979132667
ACA1_037780,,,,,16.78396167
ACA1_069680,,,,,59.90232967
ACA1_355360,,,,,114.4819007
ACA1_056090,,,,,68.98036167
ACA1_064680,,,,,11.12046767
ACA1_071150,,,,,13.56511633
ACA1_386360,,,,,59.663353
ACA1_091320,,,,,25.43858033
ACA1_275690,,,,,5.492311333
ACA1_061010,,,,,83.79039767
ACA1_078620,,,,,3.390982333
ACA1_046050,,,,,250.8248343
ACA1_164910,,,,,39.850063
ACA1_089270,,,,,19.95806567
ACA1_174780,,,,,96.478574
ACA1_176410,,,,,2.062682
ACA1_060970,,,,,3.682913333
ACA1_394860,,,,,200.457967
ACA1_392540,,,,,123.2190147
ACA1_155110,,,,,41.45646533
ACA1_239940,,,,,7.992066
ACA1_108760,,,,,37.226517
ACA1_287970,,,,,80.78019733
ACA1_287890,,,,,10.418765
ACA1_063680,,,,,60.83068833
ACA1_082540,,,,,25.407845
ACA1_108230,,,,,393.627665
ACA1_266290,,,,,5.438621333
ACA1_175560,,,,,1.065346333
ACA1_198440,,,,,49.32722467
ACA1_087960,,,,,17.56883867
ACA1_068470,,,,,17.67633033
ACA1_203910,,,,,58.09610333
ACA1_297320,,,,,66.639117
ACA1_043600,,,,,418.2132263
ACA1_392810,,,,,39.90898233
ACA1_070780,,,,,8.692528
ACA1_211790,,,,,28.297361
ACA1_073510,,,,,2.069393
ACA1_187020,,,,,4.368433667
ACA1_135580,,,,,103.683922
ACA1_261560,,,,,2.790377667
ACA1_087620,,,,,18.53909867
ACA1_352440,,,,,11.85163533
ACA1_176630,,,,,8.671872
ACA1_277550,,,,,20.41924267
ACA1_038410,,,,,2.028290333
ACA1_382390,,,,,7.355333333
ACA1_132810,,,,,11.2664
ACA1_312880,,,,,1.420671333
ACA1_379150,,,,,4.982125
ACA1_187600,,,,,13.68006567
ACA1_048450,,,,,42.06723533
ACA1_235040,,,,,15.29891867
ACA1_045280,,,,,15.10067267
ACA1_157790,,,,,4.323832333
ACA1_145790,,,,,28.58216667
