Gene_ID,Sequence,Length,%GC,Number_Exons,Avg_PYG_TPM
ACA1_395210,,,,,22.15673
ACA1_278140,,,,,28.189486
ACA1_191880,,,,,201.4828693
ACA1_387340,,,,,1.372008667
ACA1_245710,,,,,478.442627
ACA1_052530,,,,,8.964045333
ACA1_093560,,,,,74.37172467
ACA1_387260,,,,,6.219556333
ACA1_326860,,,,,3.914195333
ACA1_013000,,,,,105.684471
ACA1_055650,,,,,71.35186267
ACA1_288840,,,,,150.7400413
ACA1_068480,,,,,13.92123367
ACA1_073300,,,,,36.65177933
ACA1_192940,,,,,10.23257967
ACA1_372600,,,,,7.464527667
ACA1_366600,,,,,10.44749433
ACA1_356120,,,,,36.652365
ACA1_369500,,,,,20.74323967
ACA1_066010,,,,,502.762726
ACA1_258580,,,,,14.112209
ACA1_157330,,,,,134.594264
ACA1_172010,,,,,4.509947667
ACA1_190050,,,,,20.16647833
ACA1_278950,,,,,3.854654333
ACA1_111890,,,,,64.142572
ACA1_388540,,,,,7.485261333
ACA1_211510,,,,,6.068813667
ACA1_250670,,,,,19.31858867
ACA1_092870,,,,,12.9671
ACA1_116710,,,,,7.900252
ACA1_269650,,,,,13.26631233
ACA1_237550,,,,,9.564794
ACA1_296420,,,,,0.961336
ACA1_055050,,,,,277.6998493
ACA1_115350,,,,,148.673472
ACA1_117170,,,,,13.71309233
ACA1_187420,,,,,145.8335623
ACA1_219730,,,,,1.708599
ACA1_159000,,,,,5.658263667
ACA1_115240,,,,,81.78987667
ACA1_218460,,,,,77.092397
ACA1_073260,,,,,8.725950667
ACA1_088580,,,,,3.414925
ACA1_215630,,,,,5.532145667
ACA1_071470,,,,,37.149878
ACA1_058030,,,,,19.89618733
ACA1_096720,,,,,4.726754
ACA1_053470,,,,,43.690515
ACA1_271280,,,,,18.785692
ACA1_057160,,,,,12.77300233
ACA1_396710,,,,,17.83105033
ACA1_204040,,,,,18.35523567
ACA1_084920,,,,,34.41307067
ACA1_199310,,,,,91.14292133
ACA1_088870,,,,,31.07831067
ACA1_282690,,,,,9.468684
ACA1_261390,,,,,18.97523833
ACA1_091650,,,,,40.270439
ACA1_338000,,,,,420.1759337
ACA1_265870,,,,,249.4528047
ACA1_291700,,,,,79.28698233
ACA1_295720,,,,,1.567779333
ACA1_036230,,,,,13.80641333
ACA1_048390,,,,,14.77082867
ACA1_048130,,,,,44.807335
ACA1_377940,,,,,19.02245267
ACA1_071910,,,,,3.04637
